detector,dataset,granularity,mAP_mean,mAP_std,drop_from_standard_mAP
mock,toy_det,coarse,0.0,0.0,0.0
mock,toy_det,fine,9.706853038245e-05,0.0,-9.706853038245e-05
mock,toy_det,mixed,0.0001178689297501,0.000166691839035,-0.0001178689297501
mock,toy_det,standard,0.0,0.0,0.0
