detector,dataset,granularity,vocab_id,strategy,alpha,selected_threshold,calib_ucb_risk,calib_empirical_risk,calib_coverage,test_achieved_risk,test_achieved_coverage,test_num_kept,test_num_errors,ucb_method,delta,calib_guarantee_margin,test_margin,target_met_on_test
mock,toy_det,coarse,72302dfd90d4,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,coarse,72302dfd90d4,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,4378717635e1,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,4378717635e1,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,4378717635e1,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,4378717635e1,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,4378717635e1,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,4378717635e1,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,61338ec0dd2d,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,61338ec0dd2d,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,61338ec0dd2d,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,61338ec0dd2d,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,61338ec0dd2d,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,61338ec0dd2d,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,6443cba9b401,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,6443cba9b401,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,6443cba9b401,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,6443cba9b401,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,6443cba9b401,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,6443cba9b401,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,935084ee219f,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,935084ee219f,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,935084ee219f,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,935084ee219f,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,935084ee219f,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,935084ee219f,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,a395c6d088c6,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,a395c6d088c6,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,a395c6d088c6,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,a395c6d088c6,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,a395c6d088c6,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,a395c6d088c6,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,f33b0055e494,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,f33b0055e494,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,f33b0055e494,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,fine,f33b0055e494,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,fine,f33b0055e494,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,fine,f33b0055e494,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,189cca78d422,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,189cca78d422,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,189cca78d422,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,189cca78d422,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,189cca78d422,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,189cca78d422,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,3a6fab5af867,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,3a6fab5af867,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,3a6fab5af867,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,3a6fab5af867,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,3a6fab5af867,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,3a6fab5af867,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,57a92d78d9ce,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,57a92d78d9ce,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,57a92d78d9ce,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,57a92d78d9ce,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,57a92d78d9ce,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,57a92d78d9ce,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,910490183373,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,910490183373,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,mixed,910490183373,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,mixed,910490183373,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,mixed,910490183373,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
