detector,dataset,granularity,vocab_id,strategy,threshold,risk,coverage,ucb_risk,num_kept,num_errors,worst_group,worst_group_risk,worst_group_ucb
mock,toy_det,coarse,34774e738af0,flat,0.29752425431286805,1.0,1.0,0.6583900490667953,271,165,,,
mock,toy_det,coarse,34774e738af0,flat,0.31025946348106254,1.0,0.981549815498155,0.6699373751108342,266,165,,,
mock,toy_det,coarse,34774e738af0,flat,0.31480390600924985,1.0,0.948339483394834,0.6842525272938582,257,163,,,
mock,toy_det,coarse,34774e738af0,flat,0.3228854729373604,1.0,0.9446494464944649,0.686735474714588,256,163,,,
mock,toy_det,coarse,34774e738af0,flat,0.33413336266914123,1.0,0.922509225092251,0.6981702495408236,250,162,,,
mock,toy_det,coarse,34774e738af0,flat,0.3459760089763602,1.0,0.9003690036900369,0.714027366673238,244,162,,,
mock,toy_det,coarse,34774e738af0,flat,0.3514652940963249,1.0,0.8745387453874539,0.7334163601309824,237,162,,,
mock,toy_det,coarse,34774e738af0,flat,0.36068529613487066,1.0,0.8597785977859779,0.7449494562927265,233,162,,,
mock,toy_det,coarse,34774e738af0,flat,0.3689045156973358,1.0,0.8450184501845018,0.752716451094471,229,161,,,
mock,toy_det,coarse,34774e738af0,flat,0.37597163150736107,1.0,0.8228782287822878,0.7669308659618189,223,160,,,
mock,toy_det,coarse,34774e738af0,flat,0.38598539634615486,1.0,0.7970479704797048,0.7850929124604709,216,159,,,
mock,toy_det,coarse,34774e738af0,flat,0.4472957277170277,1.0,0.7749077490774908,0.8008465480433147,210,158,,,
mock,toy_det,coarse,34774e738af0,flat,0.456489215125586,1.0,0.7601476014760148,0.7968665845655187,206,154,,,
mock,toy_det,coarse,34774e738af0,flat,0.4626035468208601,1.0,0.7343173431734318,0.7895040928932574,199,147,,,
mock,toy_det,coarse,34774e738af0,flat,0.47330632352434765,1.0,0.7158671586715867,0.7839089093549357,194,142,,,
mock,toy_det,coarse,34774e738af0,flat,0.49066131422814446,1.0,0.6863468634686347,0.7743086863609755,186,134,,,
