detector,dataset,granularity,metric,value
mock,toy_det,__overall__,granularity_sensitivity_index,0.1215850298990969
mock,toy_det,__overall__,normalized_gsi_to_standard,0.223077548510684
mock,toy_det,coarse,vocab_instability_cv,0.3615611084438189
mock,toy_det,coarse,vocab_worst10_map,0.1913894020470042
mock,toy_det,coarse,vocab_median_map,0.2226357912411052
mock,toy_det,counterfactual,vocab_instability_cv,0.0028833784626964
mock,toy_det,counterfactual,vocab_worst10_map,0.5447120578455815
mock,toy_det,counterfactual,vocab_median_map,0.5448496739111027
mock,toy_det,fine,vocab_instability_cv,0.0045020975050499
mock,toy_det,fine,vocab_worst10_map,0.5452950419229343
mock,toy_det,fine,vocab_median_map,0.5480105456841027
mock,toy_det,mixed,vocab_instability_cv,0.1598822980063391
mock,toy_det,mixed,vocab_worst10_map,0.3889246033580081
mock,toy_det,mixed,vocab_median_map,0.4915122028011438
mock,toy_det,standard,vocab_instability_cv,0.0007477466847381
mock,toy_det,standard,vocab_worst10_map,0.5445286952413226
mock,toy_det,standard,vocab_median_map,0.5451201005991473
