detector,dataset,granularity,vocab_id,strategy,threshold,risk,coverage,ucb_risk,num_kept,num_errors,worst_group,worst_group_risk,worst_group_ucb
mock,toy_det,coarse,34774e738af0,flat,0.29752425431286805,1.0,1.0,0.46113880216902353,271,111,,,
mock,toy_det,coarse,34774e738af0,flat,0.31025946348106254,1.0,0.981549815498155,0.4694121619008905,266,111,,,
mock,toy_det,coarse,34774e738af0,flat,0.31480390600924985,1.0,0.948339483394834,0.47723956952277247,257,109,,,
mock,toy_det,coarse,34774e738af0,flat,0.3228854729373604,1.0,0.9446494464944649,0.4790154961255395,256,109,,,
mock,toy_det,coarse,34774e738af0,flat,0.3307488995948837,1.0,0.9298892988929889,0.4862519468938048,252,109,,,
mock,toy_det,coarse,34774e738af0,flat,0.33811973858533956,1.0,0.9077490774907749,0.49344296683897915,246,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.3440788900716557,1.0,0.8819188191881919,0.5071532595150453,239,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.34730015676511156,1.0,0.8597785977859779,0.5195179686647162,233,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.3508662719707206,1.0,0.8339483394833949,0.5347164166733026,226,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.3547836805936971,1.0,0.8044280442804428,0.5531942748306806,218,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.35915593064076756,1.0,0.7896678966789668,0.562911906747646,214,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.36470392978773075,1.0,0.7749077490774908,0.5729704118959824,210,108,,,
mock,toy_det,coarse,34774e738af0,flat,0.36997386020265466,1.0,0.7453874538745388,0.5844580063733711,202,106,,,
mock,toy_det,coarse,34774e738af0,flat,0.37507525544965203,1.0,0.7306273062730627,0.5954813784825386,198,106,,,
mock,toy_det,coarse,34774e738af0,flat,0.3820729906195935,1.0,0.7084870848708487,0.6077122072438371,192,105,,,
mock,toy_det,coarse,34774e738af0,flat,0.3897793407620584,1.0,0.6826568265682657,0.629035005362265,185,105,,,
mock,toy_det,coarse,34774e738af0,flat,0.4620765298628575,1.0,0.6789667896678967,0.6269212617554833,184,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.4767757341477227,1.0,0.6531365313653137,0.6497999776113021,177,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.48498756534686743,1.0,0.6199261992619927,0.6816908095368908,168,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.4952250730037839,1.0,0.5977859778597786,0.7046663435651952,162,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.5056824778893558,1.0,0.5756457564575646,0.729154963556253,156,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.514003851881549,1.0,0.5535055350553506,0.7552868061232674,150,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.5201846549372322,1.0,0.5461254612546126,0.764385818263316,148,104,,,
mock,toy_det,coarse,34774e738af0,flat,0.5273480951354785,1.0,0.5313653136531366,0.7768193992245848,144,103,,,
mock,toy_det,coarse,34774e738af0,flat,0.5327925536278882,1.0,0.5166051660516605,0.783319524256009,140,101,,,
mock,toy_det,coarse,34774e738af0,flat,0.5378509940910943,1.0,0.4907749077490775,0.7852418226590907,133,96,,,
mock,toy_det,coarse,34774e738af0,flat,0.5418572465854755,1.0,0.47601476014760147,0.7924592444497283,129,94,,,
mock,toy_det,coarse,34774e738af0,flat,0.5447461962575197,1.0,0.45387453874538747,0.7967021445152342,123,90,,,
